Stud Qu1 Qu2 Qu3 Qu4 Qu5
1234 034 023 045 055 067
3456 054 065 076 054 043
5678 065 066 034 023 011
7854 032 023 043 066 043
1234 034 067 056 065 023
1234 034 023 045 055 067
3456 054 065 076 054 043
5678 065 066 034 023 011
7854 032 023 043 066 043
1234 034 067 056 065 023
1234 034 023 045 055 067
3456 054 065 076 054 043
5678 065 066 034 023 011
7854 032 023 043 066 043
1234 034 067 056 065 023
1234 034 023 045 055 067
3456 054 065 076 054 043
5678 065 066 034 023 011
7854 032 023 043 066 043
1234 034 067 056 065 023
1234 034 023 045 055 067
3456 054 065 076 054 043
5678 065 066 034 023 011
7854 032 023 043 066 043
1234 034 067 056 065 023
1234 034 023 045 055 067
3456 054 065 076 054 043
5678 065 066 034 023 011
7854 032 023 043 066 043
1234 034 067 056 065 023
1234 034 023 045 055 067
3456 054 065 076 054 043
5678 065 066 034 023 011
7854 032 023 043 066 043
1234 034 067 056 065 023
1234 034 023 045 055 067
3456 054 065 076 054 043
5678 065 066 034 023 011
7854 032 023 043 066 043
1234 034 067 056 065 023
